partida_id,rodata,mandante,visitante,formacao_mandante,formacao_visitante,vencedor,mandante_Placar,visitante_Placar,mandante_rodata,mandante_clube,mandante_chutes_no_alvo,mandante_posse_de_bola,mandante_passes,mandante_faltas,mandante_cartao_amarelo,mandante_cartao_vermelho,mandante_impedimentos,mandante_escanteios,visitante_rodata,visitante_clube,visitante_chutes_no_alvo,visitante_posse_de_bola,visitante_passes,visitante_faltas,visitante_cartao_amarelo,visitante_cartao_vermelho,visitante_impedimentos,visitante_escanteios
8009,37,Avai,Ceara,4-5-1,4-2-3-1,Avai,2,0,37,Avai,3,41%,300,17,4,0,2,6,37,Ceara,3,59%,428,21,5,0,1,6
8010,37,Fortaleza,Bragantino,4-2-3-1,4-2-3-1,Fortaleza,6,0,37,Fortaleza,13,56%,432,17,1,0,1,7,37,Bragantino,1,44%,350,12,4,0,0,0
8013,37,Atletico-GO,Athletico-PR,4-2-3-1,4-2-3-1,-,1,1,37,Atletico-GO,7,64%,497,8,1,0,1,7,37,Athletico-PR,4,36%,283,12,0,0,0,4
8011,37,Juventude,Flamengo,4-2-3-1,4-3-3,-,2,2,37,Juventude,4,36%,294,17,7,0,0,2,37,Flamengo,3,64%,512,14,3,0,0,4
8012,37,Palmeiras,America-MG,4-2-3-1,4-1-4-1,Palmeiras,2,1,37,Palmeiras,9,58%,401,11,4,0,1,10,37,America-MG,2,42%,286,11,2,0,2,3
8015,37,Atletico-MG,Cuiaba,4-2-3-1,4-2-3-1,Atletico-MG,3,0,37,Atletico-MG,7,66%,635,12,1,0,1,3,37,Cuiaba,1,34%,326,11,4,0,1,5
8014,37,Botafogo-RJ,Santos,4-2-3-1,4-2-3-1,Botafogo-RJ,3,0,37,Botafogo-RJ,7,45%,391,15,2,0,6,3,37,Santos,0,55%,467,17,4,1,1,4
8016,38,Flamengo,Avai,4-3-3,4-5-1,Avai,1,2,38,Flamengo,4,66%,579,14,0,0,1,10,38,Avai,8,34%,313,11,1,0,0,3
8017,38,Athletico-PR,Botafogo-RJ,4-1-4-1,4-2-3-1,Athletico-PR,3,0,38,Athletico-PR,10,40%,271,19,1,0,2,6,38,Botafogo-RJ,4,60%,415,13,1,0,0,3
8018,38,Ceara,Juventude,4-2-3-1,4-1-2-1-2,Ceara,4,1,38,Ceara,9,62%,467,16,4,0,1,8,38,Juventude,4,38%,297,16,4,0,0,3
8019,38,America-MG,Atletico-GO,4-3-3,4-2-3-1,-,1,1,38,America-MG,9,60%,420,14,3,0,0,17,38,Atletico-GO,3,40%,319,12,2,1,3,5
8020,38,Santos,Fortaleza,4-2-3-1,4-4-2,Fortaleza,0,2,38,Santos,3,47%,361,17,1,0,0,5,38,Fortaleza,6,53%,396,14,3,0,2,7
8021,38,Cuiaba,Coritiba,4-1-4-1,4-1-4-1,Cuiaba,2,1,38,Cuiaba,8,57%,505,9,1,0,2,8,38,Coritiba,2,43%,389,8,3,1,2,1
8022,38,Bragantino,Fluminense,4-2-3-1,4-2-3-1,Fluminense,0,1,38,Bragantino,4,41%,319,16,3,0,5,4,38,Fluminense,4,59%,463,15,2,0,0,9
8023,38,Corinthians,Atletico-MG,4-1-4-1,4-2-3-1,Atletico-MG,0,1,38,Corinthians,4,59%,494,11,3,0,1,5,38,Atletico-MG,7,41%,351,19,6,0,0,4
8024,38,Internacional,Palmeiras,4-2-3-1,4-2-3-1,Internacional,3,0,38,Internacional,8,48%,287,13,2,0,1,6,38,Palmeiras,2,52%,306,17,3,0,2,5
8025,38,Goias,Sao Paulo,4-2-3-1,4-1-2-1-2,Sao Paulo,0,4,38,Goias,2,35%,330,12,2,0,1,3,38,Sao Paulo,7,65%,591,14,1,0,0,4
8026,1,Palmeiras,Cuiaba,4-2-3-1,4-2-3-1,Palmeiras,2,1,1,Palmeiras,5,52%,455,23,2,0,3,4,1,Cuiaba,4,48%,427,12,3,1,2,4
8027,1,America-MG,Fluminense,4-2-3-1,4-2-2-2,Fluminense,0,3,1,America-MG,2,45%,333,25,3,0,2,11,1,Fluminense,8,55%,440,9,2,0,3,1
8029,1,Bragantino,Bahia,4-2-3-1,3-4-3,Bragantino,2,1,1,Bragantino,7,57%,435,20,3,0,2,4,1,Bahia,3,43%,343,13,1,0,3,7
8030,1,Athletico-PR,Goias,4-2-3-1,4-2-3-1,Athletico-PR,2,0,1,Athletico-PR,3,43%,368,19,2,0,1,3,1,Goias,2,57%,478,18,3,0,1,8
8031,1,Fortaleza,Internacional,4-2-2-2,4-2-3-1,-,1,1,1,Fortaleza,6,47%,399,18,2,0,0,5,1,Internacional,6,53%,471,13,1,0,2,1
8028,1,Botafogo-RJ,Sao Paulo,4-2-3-1,4-1-4-1,Botafogo-RJ,2,1,1,Botafogo-RJ,3,31%,295,20,3,0,2,3,1,Sao Paulo,8,69%,647,13,2,0,1,7
8032,1,Atletico-MG,Vasco,4-3-3,4-3-3,Vasco,1,2,1,Atletico-MG,10,75%,601,15,6,0,2,14,1,Vasco,3,25%,207,10,5,0,2,3
8034,1,Flamengo,Coritiba,4-2-3-1,4-3-3,Flamengo,3,0,1,Flamengo,7,59%,541,20,3,0,1,6,1,Coritiba,3,41%,380,17,3,0,2,3
8033,1,Corinthians,Cruzeiro,4-2-3-1,4-2-3-1,Corinthians,2,1,1,Corinthians,7,41%,405,14,4,0,4,7,1,Cruzeiro,2,59%,576,12,2,0,3,4
8035,1,Gremio,Santos,4-2-3-1,4-3-3,Gremio,1,0,1,Gremio,6,45%,402,12,3,0,1,4,1,Santos,4,55%,471,16,2,1,1,11
8036,2,Fluminense,Athletico-PR,4-2-3-1,4-2-3-1,Fluminense,2,0,2,Fluminense,4,63%,559,13,3,0,3,10,2,Athletico-PR,1,37%,341,20,3,0,1,6
8038,2,Cuiaba,Bragantino,4-2-3-1,4-3-3,-,1,1,2,Cuiaba,3,33%,245,17,3,0,3,4,2,Bragantino,2,67%,508,21,3,0,2,5
8037,2,Sao Paulo,America-MG,4-1-3-2,4-2-3-1,Sao Paulo,3,0,2,Sao Paulo,6,53%,435,18,5,0,1,3,2,America-MG,8,47%,385,12,3,0,3,7
8039,2,Cruzeiro,Gremio,4-2-3-1,4-2-3-1,Cruzeiro,1,0,2,Cruzeiro,6,49%,488,21,4,1,1,11,2,Gremio,7,51%,511,8,2,0,3,5
8040,2,Internacional,Flamengo,4-2-3-1,4-1-2-1-2,Internacional,2,1,2,Internacional,4,35%,310,14,3,0,2,6,2,Flamengo,4,65%,588,13,1,0,3,2
8042,2,Vasco,Palmeiras,4-3-3,4-2-3-1,-,2,2,2,Vasco,3,35%,255,19,4,0,0,2,2,Palmeiras,7,65%,466,15,3,0,0,5
8043,2,Coritiba,Fortaleza,3-1-4-2,4-4-2,Fortaleza,0,3,2,Coritiba,7,59%,497,9,1,0,2,3,2,Fortaleza,9,41%,343,10,2,0,2,7
8044,2,Goias,Corinthians,4-2-3-1,4-2-3-1,Goias,3,1,2,Goias,7,52%,392,21,5,0,4,5,2,Corinthians,2,48%,392,23,2,0,1,8
8045,2,Bahia,Botafogo-RJ,5-4-1,4-2-3-1,Botafogo-RJ,1,2,2,Bahia,5,60%,539,18,1,0,0,6,2,Botafogo-RJ,3,40%,366,9,2,0,5,3
8047,3,Coritiba,Sao Paulo,3-4-3,4-2-3-1,-,1,1,3,Coritiba,5,33%,288,14,4,0,2,7,3,Sao Paulo,6,67%,613,12,1,0,2,6
8046,3,Fortaleza,Fluminense,4-4-2,4-2-3-1,Fortaleza,4,2,3,Fortaleza,18,30%,256,8,0,0,2,8,3,Fluminense,3,70%,598,15,3,0,1,5
8048,3,Palmeiras,Corinthians,4-2-3-1,4-2-3-1,Palmeiras,2,1,3,Palmeiras,6,55%,508,20,3,0,0,12,3,Corinthians,2,45%,437,15,3,0,1,3
8049,3,Santos,America-MG,4-3-3,4-1-4-1,Santos,3,2,3,Santos,6,44%,294,19,3,1,0,2,3,America-MG,8,56%,368,16,4,0,1,6
8050,3,Bragantino,Cruzeiro,4-2-3-1,4-2-3-1,Cruzeiro,0,3,3,Bragantino,5,44%,369,18,3,2,1,5,3,Cruzeiro,5,56%,471,8,3,0,4,9
8051,3,Atletico-MG,Athletico-PR,4-4-2,4-1-4-1,Atletico-MG,2,1,3,Atletico-MG,6,59%,574,18,3,0,2,1,3,Athletico-PR,3,41%,398,11,3,1,3,5
8052,3,Flamengo,Botafogo-RJ,3-4-2-1,4-2-3-1,Botafogo-RJ,2,3,3,Flamengo,13,74%,642,14,4,0,3,7,3,Botafogo-RJ,6,26%,225,12,2,1,1,2
8053,3,Cuiaba,Gremio,4-2-3-1,4-2-3-1,Gremio,1,2,3,Cuiaba,4,51%,410,16,3,1,2,7,3,Gremio,6,49%,432,12,5,0,2,5
8054,3,Internacional,Goias,4-2-3-1,4-2-3-1,Internacional,1,0,3,Internacional,8,58%,463,16,4,0,1,8,3,Goias,1,42%,329,10,0,1,4,11
8055,3,Vasco,Bahia,4-3-3,5-4-1,Bahia,0,1,3,Vasco,6,55%,430,19,1,0,5,7,3,Bahia,6,45%,355,19,4,0,0,6
8056,4,Cruzeiro,Santos,4-2-3-1,4-2-3-1,Cruzeiro,2,1,4,Cruzeiro,3,56%,496,17,6,0,0,4,4,Santos,4,44%,397,15,3,0,5,4
8057,4,Fluminense,Vasco,4-2-3-1,4-3-3,-,1,1,4,Fluminense,9,80%,733,12,3,0,1,9,4,Vasco,1,20%,195,19,3,0,1,1
8058,4,America-MG,Cuiaba,4-1-4-1,4-2-3-1,Cuiaba,1,2,4,America-MG,4,45%,404,19,3,1,5,4,4,Cuiaba,5,55%,476,12,4,0,2,6
8059,4,Bahia,Coritiba,3-4-3,3-4-3,Bahia,3,1,4,Bahia,5,51%,423,28,2,0,1,3,4,Coritiba,4,49%,406,24,7,0,2,5
8061,4,Athletico-PR,Flamengo,4-4-2,4-4-2,Athletico-PR,2,1,4,Athletico-PR,4,39%,349,15,2,0,2,2,4,Flamengo,4,61%,532,11,2,0,0,8
8060,4,Sao Paulo,Internacional,4-2-3-1,4-2-3-1,Sao Paulo,2,0,4,Sao Paulo,4,42%,374,16,3,0,2,4,4,Internacional,4,58%,486,9,4,0,3,9
8062,4,Gremio,Bragantino,4-2-3-1,4-3-3,-,3,3,4,Gremio,3,42%,353,9,5,0,3,4,4,Bragantino,7,58%,470,20,2,0,2,7
8063,4,Botafogo-RJ,Atletico-MG,4-2-3-1,4-2-2-2,Botafogo-RJ,2,0,4,Botafogo-RJ,7,39%,341,14,1,0,0,5,4,Atletico-MG,1,61%,536,8,3,0,4,9
8064,4,Goias,Palmeiras,4-2-3-1,3-4-2-1,Palmeiras,0,5,4,Goias,4,43%,396,13,2,1,1,4,4,Palmeiras,7,57%,524,29,6,0,1,6
8065,4,Corinthians,Fortaleza,4-2-3-1,4-2-3-1,-,1,1,4,Corinthians,8,48%,488,6,2,0,3,5,4,Fortaleza,2,52%,511,9,2,0,2,5
8067,5,Santos,Bahia,4-2-3-1,3-4-2-1,Santos,3,0,5,Santos,9,40%,379,18,3,0,5,1,5,Bahia,3,60%,550,13,4,0,1,4
8066,5,Internacional,Athletico-PR,4-2-3-1,4-3-3,Athletico-PR,0,2,5,Internacional,3,46%,423,11,2,0,2,4,5,Athletico-PR,5,54%,516,10,4,0,2,3
